name,description,image,color,price,category
Shorts High Waist,"Shorts in softly draped, woven viscose fabric. High waist, wide waistband with covered elastic at back, and pleats at front. Diagonal side pockets.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fec%2Fe7%2Fece7d977d21a52bc5cf467363542b7a444ffe3d8.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Light pink/large flowers,12.99,shorts
Belted Shorts,"Short shorts in soft faux leather. High waist, removable belt with D-rings, and side pockets. Lined.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F11%2F20%2F1120e5a27efacd34fac884d22b8a39a5f41b6860.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Black,24.99,shorts
Denim Shorts High Waist,"5-pocket shorts in washed denim. High waist, zip fly with button, and raw-edge hems.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F0c%2F2d%2F0c2dd20efe927ed7a8760fdc7eabeecef89c9b58.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shorts_jeans%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Light beige,24.99,shorts
Cotton Paper-bag Shorts,"Shorts in cotton twill. High paper-bag waist with ruffle trim, elasticized waistband, and zip fly with buttons. Side pockets and wide legs with sewn foldover cuffs.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fa9%2Fcb%2Fa9cba3aad62ce610f5a0c4ccc68c85ce6d59d7dc.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Rust brown,12.99,shorts
Pull-on Shorts,"Shorts in softly draped woven viscose fabric. Regular waist, elasticized waistband with drawstring, and side-seam pockets.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F2d%2Fe5%2F2de56540a4026aa513fb91bd48b55cdeb854b0da.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shorts%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Khaki green,12.99,shorts
Denim Shorts High Waist,"Short, 5-pocket shorts in washed denim with heavily distressed details. High waist and button fly. Sewn foldover cuffs with raw-edge, cut-off hems.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Ff1%2F58%2Ff158bfd302bebab1cce29ad34ceef5826223c914.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Denim blue,24.99,shorts
Cotton Paper-bag Shorts,"Shorts in cotton twill. High paper-bag waist with ruffle trim, elasticized waistband, and zip fly with buttons. Side pockets and wide legs with sewn foldover cuffs.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F65%2F7d%2F657d798092a3830b8a5720a5f7ace005d8b8cdf1.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Light beige,12.99,shorts
Shorts High Waist,"Shorts in softly draped, woven viscose fabric. High waist, wide waistband with covered elastic at back, and pleats at front. Diagonal side pockets.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F3a%2F50%2F3a505b183dd4d00ec025345a8ff42099257a6c9f.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Light beige/black patterned,12.99,shorts
Denim Paper-bag Shorts,"Shorts in thick cotton denim. High paper-bag waist with elasticized waistband, removable tie belt, and zip fly with buttons. Front pockets, back pockets, and sewn foldover cuffs.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fa9%2F78%2Fa97830be253420b30032371cd090935c1e84b6cf.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shorts_jeans%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Black,29.99,shorts
Denim Bermuda Shorts,"Loose-fit, 5-pocket shorts in washed, stretch cotton denim. High waist, button fly, and cut-off, raw-edge hems. Cotton content is partly recycled.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F10%2F9e%2F109ed55671500d5a716cd1ab4eb975fbeb51e8b4.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Black/washed out,19.99,shorts
Denim Shorts,"Short shorts in washed, stretch denim. Regular waist, front and back pockets, and sewn cuffs.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F09%2F18%2F09180eb59ca04ee7ccf85a4be9b13e4802f913ee.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shorts_jeans%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],White,9.99,shorts
Tie-belt Shorts,"Shorts in woven fabric. High waist with pleats at front, elastic at back of waistband, and zip fly with concealed hook-and-eye fasteners. Removable tie belt. Side pockets.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fc4%2Fab%2Fc4ab4b79b34ac2e1ff4cd2fd7160ae216ee94b72.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Light beige,24.99,shorts
Denim Overall Shorts,"Overall shorts in washed cotton denim with heavily distressed details. Adjustable suspenders, mock fly, and buttons at sides. Bib pocket, side pockets, and back pockets. Sewn foldover cuffs at hems.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F28%2F02%2F2802244212590a59144d5c134624c8ddd761bf05.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shorts_jeans%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Denim blue,39.99,shorts
Linen-blend Shorts High Waist,"Shorts in a woven viscose and linen blend. High waist with ruffle trim, elasticized waistband with drawstring, and mock fly. Diagonal side pockets.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F27%2F83%2F27830836abeeae50b8494b0134d321a2a911ddd2.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Dark blue,19.99,shorts
Wide-leg Bermuda Shorts,"Wide-leg, knee-length shorts in woven fabric with linen content. High waist, wide waistband with buttons, safety button inside, and belt loops. Zip fly, diagonal side pockets, and welt back pockets. Straight legs with pleats for added volume.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F68%2F21%2F6821e6e48ac5a5374ac6fac94154ee686fbcb0eb.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Black,29.99,shorts
Shorts High Waist,"Shorts in softly draped, woven viscose fabric. High waist, wide waistband with covered elastic at back, and pleats at front. Diagonal side pockets.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F7e%2F5e%2F7e5e86fe5fe56a33f150a0f8a8c4490d2c7293dc.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Dark blue/striped,12.99,shorts
Tie-belt Shorts,"Shorts in woven fabric. High waist with pleats at front, elastic at back of waistband, and zip fly with concealed hook-and-eye fasteners. Removable tie belt. Side pockets.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F8c%2F2d%2F8c2d1ed3f5aa0bbac08fddd7f87f33e1e3efe714.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Black,24.99,shorts
Cotton Paper-bag Shorts,"Shorts in cotton twill. High paper-bag waist with ruffle trim, elasticized waistband, and zip fly with buttons. Side pockets and wide legs with sewn foldover cuffs.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Ff7%2Fc0%2Ff7c00b28a96b4549a0970d16a438b089232a6051.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Light pink,12.99,shorts
Denim Shorts,"Short shorts in washed, stretch denim. Regular waist, front and back pockets, and sewn cuffs.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F39%2F7d%2F397d22917ff9d6ba21219ac8cad9dbf15d9d87e3.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shorts_jeans%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Denim blue,9.99,shorts
Denim Shorts High Waist,"Longer, 5-pocket shorts in washed cotton denim. High waist, zip fly with button, and frayed, raw-edge hems.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F77%2Fc2%2F77c20b92a5c6a56ddacb70883a825b592df83025.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Light beige,29.99,shorts
Ribbed Biker Shorts,"Rib-knit biker shorts in a soft viscose blend. High waist with covered, elasticized waistband.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fe5%2F5c%2Fe55c4340d3f114f265806950f77e524ba590a218.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Light gray,12.99,shorts
Tie-belt Shorts,"Shorts in woven fabric. High waist with pleats at front, elastic at back of waistband, and zip fly with concealed hook-and-eye fasteners. Removable tie belt. Side pockets.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F1b%2Fb2%2F1bb2c2c11ef624322a0cfeb3809f0adea49a5233.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Khaki green,24.99,shorts
Embrace High Denim Shorts,"Short, 5-pocket shorts in washed denim with distressed details. High waist, zip fly, and skinny legs. Smart stretch function – molds to body for a comfortable and flattering fit. Made partly from recycled cotton.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F16%2F3d%2F163de0c07e5809359d0534f2ba5fbaef4ff3e9c4.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Light denim blue,29.99,shorts
Cotton Jersey Cycling Shorts,Cycling shorts in stretch cotton jersey with an elasticized waistband.,//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F48%2Fc9%2F48c9bc5ec7c05066d9f921a4d3406f292b0c7228.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shorts%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Black,9.99,shorts
Paper-bag Shorts,"Shorts in airy woven fabric. High, paper bag waist with covered elasticized waistband, ruffle trim, and a zip fly with buttons. Leg pockets with flap.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fdf%2Ff0%2Fdff035aaacf8f380913b4d263a4b99a73e0b4509.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Light beige,24.99,shorts
Wide-leg Sweatshorts,"Sweatshorts in cotton-blend fabric. High waist, elasticized waistband with drawstring, and welt side pockets. Wide legs with slits.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fe8%2Fb4%2Fe8b467b289d91a46682ff201015bf41b3a8fcbe8.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Black,12.99,shorts
Denim Shorts High Waist,"Short, 5-pocket shorts in washed cotton denim. High waist, button fly, and grommets at sides with lacing. Raw-edge hems.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F45%2F84%2F4584a05436648e4c8a120d4361ea67371f71bf5e.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shorts_jeans%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Denim blue,29.99,shorts
Shorts High Waist,"Shorts in superstretch twill with a high waist. Zip fly with button, back pockets, and sewn cuffs at hems.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F6b%2F29%2F6b2977acaf0958c98a98992b96fa0f5a67661428.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Denim blue,17.99,shorts
Ribbed Shorts,"Ribbed shorts in a soft, fine knit. Low waist, waistband with covered elastic and drawstring, and wide legs with a slit at one side.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F10%2F03%2F1003d5eddfaf5003d25398f8ed7fec9e4569d56c.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Light beige melange,17.99,shorts
Denim Shorts High Waist,"Longer, 5-pocket shorts in washed cotton denim. High waist, zip fly with button, and frayed, raw-edge hems.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F96%2F13%2F9613706f8a33fd9a754254b484bb9d5715ba787c.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Black/washed out,29.99,shorts
Shorts High Waist,"Shorts in superstretch twill with a high waist. Zip fly with button, back pockets, and sewn cuffs at hems.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F50%2Ff7%2F50f717880805391449da9a477659ecbde98a3a54.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Dark denim blue,17.99,shorts
Denim Shorts,"Short shorts in washed, stretch denim. Regular waist, front and back pockets, and sewn cuffs.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fa4%2F4e%2Fa44ecfaf0647c66e2ee26d3c3ec19ac2f2dbefc8.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shorts_jeans%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Light denim blue,9.99,shorts
Cotton Paper-bag Shorts,"Shorts in cotton twill. High paper-bag waist with ruffle trim, elasticized waistband, and zip fly with buttons. Side pockets and wide legs with sewn foldover cuffs.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fbc%2F07%2Fbc07ff4062c20abb5ae8e561c06d5293e4b92742.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url[file:/product/main],Light orange,12.99,shorts
Vintage High Shorts,"Short, 5-pocket shorts in washed, slightly stretchy cotton denim. High waist, zip fly, and raw edges at hems.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Feb%2F4e%2Feb4ef72bd1e3e96ac990ce5797088517fa005013.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Black/washed,14.99,shorts
Crinkled Shorts,"Shorts in woven, crinkled viscose fabric. High waist with covered, elasticized waistband, decorative ties at front, and narrow ruffle trim at top.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F47%2F08%2F470832885df16193a8e3f05eb73cbc19df07a0a9.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Bright blue/small flowers,17.99,shorts
Printed Sweatshorts,"Sweatshorts in cotton-blend fabric with a printed design on one leg. Regular waist, elasticized waistband with drawstring, and discreet side pockets. Polyester content is recycled.",,Light pink/Mickey Mouse,17.99,shorts
Denim Shorts Boyfriend,"Looser-fit, 5-pocket shorts in washed denim with distressed details. Regular waist, button fly, and sewn foldover cuffs at hems. Cotton content is partly organic.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fe5%2F3b%2Fe53bd9b9c10bfe57fbe95904c002cc16a8b07300.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shorts_jeans%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url[file:/product/main],Denim blue,24.99,shorts
Shorts High Waist,"Shorts in superstretch twill with a high waist. Zip fly with button, back pockets, and sewn cuffs at hems.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F31%2F90%2F31906aca8f35352908f5f04b58b6eceeae35f29b.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Denim blue,17.99,shorts
Pull-on Shorts,"Shorts in softly draped woven viscose fabric. Regular waist, elasticized waistband with drawstring, and side-seam pockets.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F4d%2Fce%2F4dcee80ce547243b9e64bea5537e5365ef2309e0.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shorts%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Black/leaf print,12.99,shorts
Paper-bag Shorts,"Shorts in woven fabric with a high paper-bag waist and covered, elasticized waistband.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F79%2F3c%2F793c54fbfc59f2ff2a585def7501f5eed7e6c676.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BLadies_shorts_highwaisted%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Light turquoise,17.99,shorts
Mom Fit Denim Shorts,"5-pocket shorts in washed denim. High waist, zip fly with button, and slightly wider legs.",//lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F26%2F14%2F2614669cc147d7c78f4d766ee8a92498f5c086ce.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bladies_shorts_jeans%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main],Pale denim blue,24.99,shorts
